iter	Passed	Remaining
0	0	90
1	1	92
2	2	92
3	3	82
4	4	82
5	5	86
6	6	87
7	7	87
8	8	85
9	9	84
10	10	81
11	10	80
12	11	78
13	12	76
14	13	74
15	13	72
16	14	70
17	15	68
18	15	67
19	16	65
20	17	64
21	17	63
22	18	63
23	19	62
24	20	61
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	25	55
31	25	54
32	26	53
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	45
42	33	44
43	34	43
44	34	42
45	35	41
46	36	40
47	36	39
48	37	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	65	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	76	0
